user_id,customer_type,purchase_sessions,purchase_events,revenue,unique_products
536085929,Repeat,2,5,33.93,4
545329682,One-time,1,5,24.01,5
559014789,Repeat,4,62,162.89,57
542394647,Repeat,2,4,28.98,4
585450102,One-time,1,5,49.6,5
479126524,Repeat,5,21,70.54,19
449856422,Repeat,2,22,68.72,22
405428192,One-time,1,3,10.79,3
589953376,One-time,1,1,17.3,1
589959338,One-time,1,2,20.93,2
517789808,One-time,1,4,29.66,4
417272873,One-time,1,6,23.0,6
569735277,Repeat,5,27,216.45,22
367429734,One-time,1,4,57.31,4
528168451,Repeat,3,18,146.34,16
369716589,One-time,1,6,34.94,6
571380676,One-time,1,9,53.4,9
566999114,One-time,1,6,12.21,6
571089098,One-time,1,5,17.37,5
456017031,Repeat,6,38,343.64,38
563795449,One-time,1,1,0.73,1
299028886,One-time,1,14,34.57,14
571721317,One-time,1,17,35.13,17
569814128,One-time,1,6,14.65,6
554776497,One-time,1,5,25.81,5
572816429,One-time,1,8,31.12,8
432509138,One-time,1,17,118.06,17
573853220,One-time,1,3,21.02,3
445702327,Repeat,3,51,151.97,46
374191490,Repeat,3,33,134.39,31
541910913,Repeat,8,94,328.95,85
463582070,Repeat,4,41,179.52,41
231273799,One-time,1,26,147.0,24
577838114,One-time,1,2,81.11,2
325539225,Repeat,4,8,85.8,6
567932590,One-time,1,9,98.82,9
555996661,One-time,1,25,44.71,25
538268506,One-time,1,1,54.44,1
471459310,Repeat,9,62,407.77,55
407637534,Repeat,3,4,22.54,4
434072441,Repeat,7,40,415.72,30
512112732,One-time,1,2,15.7,2
316430898,One-time,1,6,22.1,6
231542726,Repeat,2,23,56.43,23
558433306,Repeat,5,39,143.51,39
558472659,One-time,1,2,10.16,2
468974840,Repeat,2,28,60.19,28
559892928,One-time,1,3,9.84,3
265442277,Repeat,5,29,182.85,29
420136775,Repeat,6,41,212.19,39
230669201,Repeat,2,3,31.59,3
520251065,One-time,1,5,17.54,5
423390491,Repeat,2,8,29.41,8
249872060,One-time,1,15,40.95,15
559989470,One-time,1,3,30.16,3
540268677,Repeat,2,3,15.55,2
424986951,One-time,1,4,20.23,4
558863145,Repeat,3,14,113.6,12
564327847,One-time,1,1,10.54,1
551145562,One-time,1,3,15.24,3
386572225,One-time,1,2,28.88,2
564294357,Repeat,4,6,27.92,3
310919273,Repeat,2,4,41.65,4
565538502,One-time,1,18,113.68,9
533527079,One-time,1,2,42.28,2
423377896,Repeat,4,16,84.96,16
603910312,One-time,1,5,44.69,5
610052448,One-time,1,3,19.05,3
568311197,One-time,1,2,9.45,2
592337925,Repeat,2,8,17.23,8
395016706,One-time,1,3,31.91,3
612983332,One-time,1,5,33.99,5
613069918,One-time,1,5,6.17,5
233756821,One-time,1,5,31.78,5
615201890,One-time,1,1,0.71,1
529725414,One-time,1,1,18.25,1
497067194,Repeat,4,11,63.12,10
584587036,One-time,1,7,17.63,7
561961047,Repeat,3,34,132.9,34
478157057,One-time,1,1,15.86,1
532395118,Repeat,4,24,102.65,21
608232807,Repeat,2,8,68.1,8
598808357,Repeat,3,14,66.82,14
609530620,Repeat,2,37,96.95,37
618036652,One-time,1,1,11.57,1
471267198,One-time,1,7,10.8,7
618029123,One-time,1,13,62.25,13
614989624,One-time,1,1,5.56,1
605655211,One-time,1,6,41.48,6
596421117,One-time,1,6,87.31,6
595565594,One-time,1,9,72.5,9
580194457,One-time,1,1,15.71,1
544391036,One-time,1,7,19.19,7
547341128,One-time,1,5,37.65,5
392914392,Repeat,2,6,21.73,6
555677718,One-time,1,5,10.22,5
551236674,One-time,1,5,17.78,5
596920393,One-time,1,2,15.5,2
527391151,Repeat,2,12,80.97,12
526704204,Repeat,3,22,209.35,20
602273888,One-time,1,16,62.81,16
603422089,One-time,1,2,16.51,2
603424623,One-time,1,11,37.05,11
603471213,One-time,1,4,9.5,4
603544737,One-time,1,5,24.27,5
584318140,Repeat,2,14,58.34,12
402406402,Repeat,3,41,209.36,40
605667142,One-time,1,3,17.83,3
346219092,Repeat,2,6,32.2,5
400356537,Repeat,6,83,524.65,69
580914638,One-time,1,2,17.43,2
545256405,Repeat,2,9,93.31,9
396398260,One-time,1,2,35.56,2
498360567,Repeat,2,18,134.12,18
577783630,One-time,1,2,26.98,2
580938912,Repeat,5,105,478.93,104
447875135,Repeat,6,26,130.0,24
580367341,One-time,1,7,162.6,7
529754360,Repeat,6,119,663.67,96
580680884,One-time,1,17,148.21,17
461446900,Repeat,2,19,94.65,19
580958856,One-time,1,8,61.22,8
518987624,Repeat,6,54,205.37,54
472520672,Repeat,3,10,57.72,10
539445954,Repeat,5,48,183.79,46
578198718,One-time,1,9,55.63,9
567247800,Repeat,3,13,61.98,11
574105439,Repeat,6,104,630.4,99
580187026,One-time,1,22,86.97,22
471397245,One-time,1,4,19.92,4
437393882,Repeat,6,73,325.53,58
581022068,One-time,1,3,6.19,3
525183366,Repeat,6,155,704.87,145
432598521,Repeat,4,18,112.53,18
576075291,One-time,1,3,18.7,3
236991754,Repeat,2,34,51.19,34
581057511,One-time,1,1,8.65,1
309314159,Repeat,2,34,92.32,27
581038881,One-time,1,8,32.72,8
552974305,Repeat,2,27,157.6,27
581060950,One-time,1,4,9.74,4
579902320,One-time,1,19,52.69,19
321590816,One-time,1,19,111.29,16
537965235,Repeat,3,36,95.81,26
535708923,Repeat,2,8,35.02,8
552800278,Repeat,2,19,40.05,18
517825140,Repeat,5,412,954.18,362
502647768,Repeat,2,18,57.69,17
462089326,Repeat,7,93,532.3,91
555801714,Repeat,2,9,22.65,9
231151094,One-time,1,7,40.62,7
548608203,One-time,1,22,72.12,22
308823474,Repeat,5,15,126.15,11
554609012,Repeat,2,14,27.05,13
581102665,One-time,1,6,10.91,6
541529688,Repeat,2,8,33.25,8
550592302,Repeat,3,7,30.08,3
572482050,One-time,1,6,12.99,6
581120613,One-time,1,1,44.29,1
484207396,Repeat,3,26,152.95,26
406199587,Repeat,2,13,75.55,12
463646608,Repeat,5,46,133.24,45
534759952,Repeat,2,53,121.81,53
581117184,One-time,1,5,15.38,5
576301256,One-time,1,2,14.69,2
570634818,One-time,1,19,83.11,19
552006820,Repeat,8,75,257.06,73
433120109,One-time,1,17,45.47,17
560041851,Repeat,2,12,24.29,12
420939132,One-time,1,8,49.42,8
500786621,Repeat,6,61,372.71,60
254974330,Repeat,6,148,257.98,146
556278254,One-time,1,11,13.74,11
569446633,One-time,1,3,9.66,3
303111112,One-time,1,3,14.77,3
577656726,Repeat,2,22,54.67,21
479397425,One-time,1,7,66.75,7
562566640,Repeat,2,18,76.98,18
405771061,Repeat,16,83,402.2,78
414214203,One-time,1,5,18.11,5
458010139,One-time,1,3,19.82,3
585305162,One-time,1,4,9.56,4
427034411,One-time,1,39,136.91,34
549296996,Repeat,2,6,25.16,4
448773736,Repeat,6,66,329.03,65
508496342,Repeat,3,11,104.51,8
381446435,One-time,1,3,22.33,3
506668293,Repeat,3,34,61.68,34
402269733,One-time,1,5,16.11,5
559173213,Repeat,2,9,68.51,9
536434289,Repeat,4,23,156.37,22
569221676,One-time,1,2,85.88,2
570012824,Repeat,2,9,134.81,9
585087018,One-time,1,6,28.08,6
584271341,One-time,1,3,53.99,3
585346711,One-time,1,2,31.27,2
451775895,One-time,1,5,30.0,5
377497888,One-time,1,3,16.35,3
530439274,Repeat,2,13,37.89,13
505205584,Repeat,3,32,103.1,31
551757140,One-time,1,3,10.46,3
418503675,One-time,1,4,12.78,4
528632860,Repeat,2,36,92.06,36
585368413,One-time,1,4,35.32,4
557959194,One-time,1,4,20.62,4
291471126,One-time,1,13,53.75,13
585356471,One-time,1,4,37.22,4
428710446,One-time,1,133,830.66,124
278336518,One-time,1,5,23.95,5
473288946,Repeat,3,40,153.44,40
585352887,One-time,1,7,55.06,7
585056585,One-time,1,2,11.09,2
585377039,One-time,1,2,22.57,2
506619401,One-time,1,10,45.4,10
552494753,One-time,1,4,15.94,4
361946136,Repeat,4,74,379.28,72
565995005,Repeat,11,105,526.57,91
557908515,Repeat,4,41,169.33,40
564308488,Repeat,3,5,55.24,5
551446566,Repeat,2,14,70.8,14
563105174,Repeat,2,16,52.45,16
416321697,One-time,1,5,21.2,5
585436347,One-time,1,2,145.0,2
557764272,Repeat,2,15,72.45,13
553432203,Repeat,2,17,78.1,16
474582789,One-time,1,7,58.22,7
489392409,One-time,1,2,40.95,2
504742364,Repeat,2,4,55.33,4
467832178,Repeat,6,108,587.69,107
585461127,One-time,1,7,71.42,7
563642235,Repeat,2,39,260.22,39
560389070,Repeat,2,15,80.99,15
574570454,Repeat,3,39,56.61,37
585473688,One-time,1,7,59.3,7
492650335,Repeat,18,243,904.53,203
400911344,Repeat,18,219,1364.52,211
525431482,Repeat,5,54,196.97,48
588122666,One-time,1,1,0.38,1
483179379,Repeat,4,38,274.71,34
514292431,One-time,1,1,7.94,1
571599366,Repeat,5,39,196.28,33
588124611,One-time,1,71,102.89,71
488417864,One-time,1,4,25.78,4
564682586,Repeat,2,17,33.07,17
571119793,Repeat,3,8,92.29,8
582084524,Repeat,2,12,181.84,11
588151325,One-time,1,3,10.27,3
587652673,One-time,1,8,47.91,8
588152918,One-time,1,1,13.49,1
566694350,Repeat,3,45,140.9,43
536001083,Repeat,2,4,18.11,4
583835198,One-time,1,3,11.46,3
587665592,One-time,1,2,59.89,2
520898443,Repeat,6,80,465.87,67
532729705,Repeat,5,14,66.04,14
585851022,One-time,1,1,46.83,1
430224592,Repeat,2,6,121.04,5
549880927,One-time,1,4,17.78,4
540920219,One-time,1,14,104.9,14
529032972,Repeat,2,40,144.18,37
397217117,Repeat,6,24,77.44,14
545037593,Repeat,2,7,86.5,7
588176591,One-time,1,11,21.38,11
585758118,Repeat,2,6,77.99,4
527664683,Repeat,2,24,72.06,24
475175311,Repeat,5,28,144.03,28
467411873,One-time,1,5,16.49,5
573221098,Repeat,2,20,21.06,19
588204060,One-time,1,4,25.75,4
588035277,One-time,1,10,110.91,10
588220098,One-time,1,3,7.9,3
531589548,One-time,1,3,37.39,3
505326316,One-time,1,5,62.3,5
588019600,One-time,1,2,55.23,2
585705098,One-time,1,14,32.67,14
587222139,One-time,1,4,14.57,4
552368546,One-time,1,6,19.67,6
582642969,Repeat,2,18,114.29,18
435904779,Repeat,2,9,37.12,9
585745090,One-time,1,5,10.88,5
493533996,Repeat,4,32,198.18,32
588189253,One-time,1,6,29.91,6
464966634,One-time,1,6,50.77,6
560570030,One-time,1,4,23.74,4
584898262,One-time,1,3,11.08,3
358019213,Repeat,15,74,309.12,68
588280523,One-time,1,3,31.28,3
472332490,Repeat,7,86,500.08,50
588289706,One-time,1,1,13.49,1
570723963,Repeat,4,67,219.07,65
588177347,One-time,1,2,9.94,2
588290664,One-time,1,3,23.02,3
587998418,Repeat,4,4,80.0,2
479202750,Repeat,3,58,138.07,58
588296441,One-time,1,1,10.95,1
551006845,One-time,1,11,47.04,11
588282617,One-time,1,4,29.69,4
427627224,One-time,1,7,18.69,7
568630966,Repeat,3,27,247.96,23
578436592,Repeat,3,15,60.59,15
485365573,Repeat,2,14,44.41,14
456725508,Repeat,4,17,59.57,17
336791687,One-time,1,18,47.28,18
331322734,Repeat,3,26,72.95,26
514295081,One-time,1,1,38.35,1
361932055,One-time,1,6,21.39,6
549842627,Repeat,11,64,283.19,60
560251574,Repeat,5,9,63.32,9
584793155,One-time,1,3,10.0,3
588339638,One-time,1,5,27.44,5
575327561,Repeat,3,26,37.74,26
406772131,Repeat,9,95,238.37,89
588348413,One-time,1,2,30.0,2
511286021,One-time,1,1,15.71,1
551969914,Repeat,3,7,146.42,7
587314437,Repeat,3,43,140.45,43
589845067,One-time,1,1,11.11,1
588364296,One-time,1,3,122.03,3
571533767,One-time,1,3,28.0,3
589830010,One-time,1,2,11.01,2
397841219,Repeat,2,27,73.42,27
563844265,Repeat,4,50,252.69,42
465693142,One-time,1,2,16.19,2
589853643,One-time,1,4,26.83,4
518504381,Repeat,8,71,392.72,66
537456049,One-time,1,2,11.59,2
369490513,One-time,1,8,63.4,8
561607754,Repeat,3,13,98.34,10
440058277,One-time,1,3,10.21,3
589878897,One-time,1,2,11.11,2
391174530,One-time,1,13,67.68,13
536451871,Repeat,5,37,81.09,33
574242517,One-time,1,6,52.51,6
563331289,Repeat,2,3,19.45,3
549463198,Repeat,2,20,40.7,20
394640308,One-time,1,10,9.85,10
576157460,One-time,1,2,10.47,2
566710027,Repeat,3,10,34.5,10
582980353,One-time,1,8,47.53,8
537515290,Repeat,4,25,83.52,25
589547859,One-time,1,3,25.0,3
385091073,Repeat,2,36,178.76,36
442508971,Repeat,2,21,69.82,21
589875032,One-time,1,12,630.84,11
468183570,One-time,1,5,23.67,5
536217604,Repeat,2,7,76.53,7
389829359,Repeat,3,19,130.67,19
581909687,Repeat,4,20,163.41,16
423688689,Repeat,6,34,124.65,34
517280634,Repeat,2,24,118.45,22
589538798,One-time,1,20,8.06,20
471023602,Repeat,2,32,115.88,32
587348229,One-time,1,9,65.56,9
232054981,Repeat,2,17,50.28,17
544514899,Repeat,5,38,264.45,38
512158666,Repeat,2,9,26.56,9
589989977,One-time,1,1,77.78,1
573988798,One-time,1,6,51.83,6
590000766,One-time,1,5,23.72,5
429740476,Repeat,2,7,36.13,7
589459321,One-time,1,18,39.71,18
587478046,One-time,1,3,13.35,3
589532251,One-time,1,8,55.35,8
588507438,One-time,1,1,8.73,1
589992687,One-time,1,2,15.56,2
381048159,One-time,1,2,34.44,2
551398097,Repeat,7,46,194.11,43
494431839,Repeat,5,36,152.78,25
555412324,Repeat,2,8,44.38,8
590034110,One-time,1,7,25.8,7
587188412,One-time,1,4,8.07,4
529263851,Repeat,2,4,113.81,4
589727698,One-time,1,31,70.13,31
498941999,Repeat,3,12,61.77,12
524574272,One-time,1,3,24.44,3
536442822,Repeat,5,70,245.22,54
590104055,Repeat,2,9,27.75,9
487034334,Repeat,3,31,88.34,31
472355641,One-time,1,12,72.66,12
590124968,One-time,1,6,40.57,6
580425157,One-time,1,5,31.22,5
590129916,One-time,1,4,6.75,4
561486183,One-time,1,3,11.9,3
566782761,Repeat,4,24,116.81,20
559936024,Repeat,4,14,235.33,14
590330669,Repeat,2,9,57.81,9
591438739,Repeat,3,19,92.32,19
592066863,One-time,1,3,10.15,3
592038092,One-time,1,10,29.52,10
592080312,One-time,1,3,15.09,3
395996365,Repeat,6,53,203.88,52
259132041,One-time,1,7,27.02,7
589558815,One-time,1,5,46.43,5
513983952,Repeat,2,21,90.3,11
592031356,One-time,1,4,46.01,4
468168399,Repeat,6,94,476.6,86
304615142,One-time,1,2,14.13,2
568100583,Repeat,3,19,252.06,18
592080244,One-time,1,1,3.95,1
569211698,Repeat,2,21,67.79,21
263963321,One-time,1,11,40.95,11
582916380,One-time,1,16,44.01,16
488352580,Repeat,3,18,142.62,15
362236255,One-time,1,6,43.15,6
587612701,One-time,1,2,8.38,2
592171411,One-time,1,7,18.61,7
592208153,One-time,1,1,6.89,1
331161777,One-time,1,6,23.92,6
591354557,Repeat,2,22,179.96,22
585292369,One-time,1,11,17.14,11
371170167,Repeat,2,7,54.45,7
592170510,One-time,1,6,8.85,6
587276160,One-time,1,2,5.55,2
568541186,Repeat,2,18,34.11,18
407955258,One-time,1,1,44.29,1
471205772,Repeat,2,29,76.19,29
399886902,One-time,1,8,142.33,7
496574748,Repeat,2,8,22.14,7
505315163,One-time,1,7,69.05,7
592209802,One-time,1,3,9.99,3
592237335,One-time,1,11,59.67,11
592254334,One-time,1,4,15.96,4
475543697,One-time,1,2,11.1,2
542563185,One-time,1,6,34.44,6
432930995,Repeat,2,7,73.96,6
245232895,Repeat,2,19,159.6,19
530514609,One-time,1,12,23.21,12
467280397,One-time,1,26,124.76,26
546483484,Repeat,8,14,248.13,10
358910850,Repeat,2,4,23.41,4
592277533,One-time,1,2,13.97,2
588261316,One-time,1,3,14.05,3
538139609,Repeat,4,41,103.61,41
457474716,One-time,1,4,23.07,4
582412167,One-time,1,1,14.51,1
324849731,Repeat,8,28,92.05,26
592277390,One-time,1,9,36.7,9
563844203,One-time,1,2,10.16,2
548438660,One-time,1,4,27.46,4
584430457,One-time,1,2,40.46,2
532986197,One-time,1,1,6.51,1
592300704,One-time,1,1,49.21,1
510763897,One-time,1,10,29.2,10
592287447,One-time,1,1,60.32,1
472937064,One-time,1,3,16.36,3
480742568,Repeat,3,4,60.8,2
252880948,Repeat,11,88,422.84,77
442056538,Repeat,3,44,121.32,43
188544526,Repeat,3,14,47.21,14
558148546,One-time,1,5,9.92,5
591300142,One-time,1,5,30.27,5
591877697,Repeat,3,21,99.94,11
430326290,Repeat,5,30,122.26,30
570126412,Repeat,3,15,138.34,15
520501669,Repeat,11,64,913.01,45
591826900,One-time,1,17,55.03,17
551769766,Repeat,2,17,32.88,17
434796277,Repeat,2,14,48.36,14
577706495,Repeat,2,6,44.74,5
592332700,Repeat,4,27,179.17,22
592383932,One-time,1,1,5.24,1
551143150,One-time,1,10,54.31,10
592387996,One-time,1,2,20.87,2
592337128,One-time,1,5,20.95,5
566684064,One-time,1,3,13.56,3
566686244,One-time,1,1,47.6,1
425800876,One-time,1,13,79.19,13
378964354,Repeat,9,64,245.14,62
553363925,Repeat,5,33,219.28,31
549723789,One-time,1,3,26.82,3
498781811,One-time,1,2,20.95,2
313751489,One-time,1,49,99.11,49
564351055,Repeat,2,15,126.35,15
410995960,One-time,1,7,59.69,4
471712905,Repeat,4,18,55.48,18
375439563,Repeat,6,25,69.46,20
566737093,One-time,1,2,14.28,2
558991649,Repeat,2,16,103.22,16
566387117,Repeat,4,62,336.59,61
486180185,Repeat,2,7,46.05,6
540846248,One-time,1,2,10.62,2
566743069,One-time,1,2,57.14,2
510126861,Repeat,2,16,66.58,16
549548747,Repeat,3,21,143.85,16
436064104,Repeat,3,8,71.13,8
495788820,Repeat,7,73,104.98,53
563281479,One-time,1,11,180.15,11
566744863,One-time,1,6,22.37,6
408275476,One-time,1,57,190.04,46
469292064,One-time,1,3,14.25,3
566073113,One-time,1,3,10.62,3
566767047,One-time,1,6,140.99,6
566758475,One-time,1,13,33.71,13
396251602,Repeat,4,53,116.65,53
559691564,Repeat,3,16,153.24,9
433831341,Repeat,6,55,448.95,52
566778208,One-time,1,8,15.45,8
282441385,One-time,1,12,84.72,12
564745688,Repeat,2,40,86.89,28
543624442,One-time,1,8,44.15,8
434832914,One-time,1,5,13.78,5
566795383,One-time,1,3,14.83,3
540919209,Repeat,2,26,86.34,26
566788680,One-time,1,2,8.26,2
544502556,One-time,1,8,52.63,8
566804993,One-time,1,1,10.32,1
543240643,One-time,1,27,63.35,27
515588278,One-time,1,13,33.98,13
540565814,One-time,1,44,89.45,44
566831178,One-time,1,5,13.58,5
476897743,Repeat,2,16,116.66,15
488145200,Repeat,4,15,51.75,9
537761913,Repeat,3,14,88.68,14
566578601,One-time,1,13,36.97,13
566850797,One-time,1,2,10.16,2
514325122,Repeat,3,13,99.16,13
566850088,One-time,1,7,18.93,7
524665978,Repeat,2,23,108.37,22
560743020,One-time,1,5,20.4,5
566863897,One-time,1,6,20.54,6
566437298,One-time,1,25,55.7,25
563801724,Repeat,5,47,229.13,47
510334101,Repeat,5,63,227.68,61
475185409,One-time,1,5,10.46,5
563885781,One-time,1,20,57.76,20
566874007,One-time,1,3,14.24,3
527488917,Repeat,4,60,166.06,55
568099937,One-time,1,4,13.01,4
537292637,One-time,1,5,20.44,5
442075052,Repeat,2,25,168.47,25
541886712,One-time,1,3,13.75,3
545922663,Repeat,5,62,247.51,59
568110785,One-time,1,2,39.04,2
479026568,Repeat,2,18,41.43,18
551828235,Repeat,2,2,59.69,1
526426371,Repeat,3,43,202.19,43
476841457,One-time,1,12,9.57,12
568117671,One-time,1,1,63.33,1
540014978,Repeat,6,86,378.31,85
554420291,One-time,1,6,15.39,6
568112575,One-time,1,31,235.91,31
528208439,One-time,1,19,38.15,19
568124475,One-time,1,2,30.08,2
544572107,Repeat,2,18,67.95,18
525208380,One-time,1,3,10.54,3
419650019,Repeat,4,72,876.67,60
528533974,One-time,1,6,22.25,6
568116866,One-time,1,13,47.84,13
275131685,Repeat,13,86,460.49,81
568086597,One-time,1,1,44.29,1
427685813,One-time,1,36,110.98,36
568144368,One-time,1,1,14.51,1
237679638,Repeat,3,51,202.29,48
568149245,One-time,1,3,7.51,3
462523050,Repeat,3,35,125.04,23
313585716,Repeat,12,111,577.0,89
563532196,Repeat,5,60,327.21,45
371767717,Repeat,2,55,299.75,55
568138854,One-time,1,7,53.9,7
560447722,Repeat,4,34,194.2,34
550812599,One-time,1,2,14.27,2
453555228,Repeat,2,45,321.16,20
553263869,One-time,1,1,14.13,1
568157239,Repeat,2,7,52.04,7
568153299,One-time,1,1,9.52,1
552235561,Repeat,5,49,298.4,39
568162793,One-time,1,2,11.91,2
568158293,One-time,1,4,62.37,4
553432210,One-time,1,4,20.43,4
512610028,Repeat,2,21,102.77,21
457082238,One-time,1,48,305.11,46
512150736,One-time,1,7,8.92,7
360668911,Repeat,3,27,301.9,26
568091144,One-time,1,5,64.75,5
565675157,One-time,1,1,4.08,1
560966996,One-time,1,8,27.72,8
498441390,One-time,1,4,10.07,4
543663432,Repeat,2,14,98.72,14
568181044,One-time,1,7,17.39,7
543674996,One-time,1,2,4.92,2
559178518,Repeat,4,33,58.35,25
568192986,One-time,1,1,7.33,1
568195028,One-time,1,1,2.06,1
568156709,Repeat,2,23,39.69,19
568144442,One-time,1,2,53.22,2
391965968,Repeat,5,17,178.21,16
509370354,One-time,1,6,13.84,6
259952162,Repeat,3,28,132.65,28
400087800,One-time,1,38,145.64,36
568205719,One-time,1,5,19.65,5
483803330,Repeat,5,34,237.19,29
515007518,Repeat,2,7,30.24,6
548498785,Repeat,3,13,143.23,12
559115833,Repeat,3,25,93.22,25
566070908,Repeat,2,12,41.69,12
470974295,One-time,1,4,12.77,4
567831017,One-time,1,1,2.06,1
568228659,One-time,1,17,51.9,17
554463862,Repeat,3,50,155.07,50
361499226,One-time,1,3,9.21,3
568251910,One-time,1,3,49.43,3
463026627,Repeat,2,9,50.11,9
568258246,One-time,1,11,14.22,11
370159793,Repeat,2,18,95.85,10
471019940,Repeat,7,52,192.78,49
569622344,One-time,1,2,12.19,2
567814121,One-time,1,1,3.76,1
527861910,One-time,1,3,10.7,3
542777220,Repeat,5,48,212.21,42
569621273,Repeat,2,7,21.91,7
366120924,One-time,1,6,20.95,6
569596957,One-time,1,5,32.84,5
540684577,Repeat,2,27,103.66,26
