product_id,views,carts,purchases,revenue,view_to_purchase_pct,view_to_cart_pct
5867970,48,29,4,25.32,8.33,60.42
5809888,1391,970,188,890.41,13.52,69.73
15736,1871,98,12,166.24,0.64,5.24
5789670,3847,2275,416,1106.71,10.81,59.14
8695,50,37,15,280.51,30.0,74.0
5868779,60,24,2,14.28,3.33,40.0
5879294,135,72,11,62.02,8.15,53.33
5850299,314,115,20,94.73,6.37,36.62
5886338,798,255,42,283.29,5.26,31.95
5876808,86,100,35,109.06,40.7,116.28
5699779,1145,858,164,440.29,14.32,74.93
5889455,323,186,28,120.0,8.67,57.59
5804462,2251,1609,405,1596.25,17.99,71.48
5803448,39,18,1,5.24,2.56,46.15
5907870,86,58,16,22.88,18.6,67.44
5899833,2568,1016,254,984.98,9.89,39.56
5844010,880,379,106,617.71,12.05,43.07
5895787,51,163,36,65.8,70.59,319.61
5683894,1318,678,137,356.96,10.39,51.44
5730519,718,338,60,616.11,8.36,47.08
35339,158,34,5,11.35,3.16,21.52
5866964,6735,931,216,9925.92,3.21,13.82
5875350,720,716,147,300.44,20.42,99.44
5875353,212,273,59,119.96,27.83,128.77
5875411,349,457,96,195.92,27.51,130.95
5899829,1579,514,92,355.64,5.83,32.55
5814040,738,403,112,1140.39,15.18,54.61
5677055,2194,559,108,1468.2,4.92,25.48
5896619,483,612,99,244.53,20.5,126.71
5695818,196,319,85,20.17,43.37,162.76
5861607,257,46,8,139.0,3.11,17.9
5724282,894,689,148,366.52,16.55,77.07
5869317,71,13,2,18.49,2.82,18.31
5823779,1415,521,114,270.67,8.06,36.82
60182,387,212,33,153.03,8.53,54.78
5697533,1516,1001,270,1130.81,17.81,66.03
5775875,179,129,42,204.89,23.46,72.07
5659900,701,1355,454,1288.45,64.76,193.3
5798929,2743,2549,857,5244.89,31.24,92.93
5891026,163,83,12,80.58,7.36,50.92
5659906,54,222,60,170.7,111.11,411.11
5803885,291,245,51,202.47,17.53,84.19
5770022,2436,884,165,461.67,6.77,36.29
5829785,244,53,8,173.32,3.28,21.72
5897208,34,30,7,27.21,20.59,88.24
5861733,308,92,22,156.72,7.14,29.87
5798096,71,55,10,137.04,14.08,77.46
5758072,252,257,42,83.58,16.67,101.98
5833327,1067,1094,357,562.02,33.46,102.53
5833332,2334,1384,411,518.91,17.61,59.3
15703,370,172,41,116.68,11.08,46.49
5819232,1023,843,142,630.76,13.88,82.4
5781917,56,211,52,32.57,92.86,376.79
5542,840,507,143,354.98,17.02,60.36
5787911,66,44,6,15.72,9.09,66.67
5866044,312,89,12,177.53,3.85,28.53
5801816,1888,715,152,430.08,8.05,37.87
5871010,298,163,25,138.38,8.39,54.7
5837401,20,17,2,9.52,10.0,85.0
5882719,4,9,2,2.54,50.0,225.0
5813053,157,152,20,79.0,12.74,96.82
5641077,473,306,88,24.5,18.6,64.69
5779404,122,4,3,8.1,2.46,3.28
5852307,108,31,3,75.0,2.78,28.7
5876398,31,24,5,42.15,16.13,77.42
24679,195,152,34,312.27,17.44,77.95
5780032,1428,1410,514,1213.02,35.99,98.74
5780830,2114,1112,334,2376.0,15.8,52.6
5650433,201,76,12,146.7,5.97,37.81
5850628,1747,949,189,987.96,10.82,54.32
5817161,3409,383,77,435.64,2.26,11.23
5587660,741,433,100,473.02,13.5,58.43
5848190,36,25,1,1.43,2.78,69.44
5809297,2842,3745,1008,785.76,35.47,131.77
60183,955,1119,334,656.71,34.97,117.17
4639,528,617,194,71.5,36.74,116.86
5772453,426,356,69,322.3,16.2,83.57
5880415,87,18,2,13.26,2.3,20.69
5890144,195,103,19,75.03,9.74,52.82
5804668,557,606,199,1099.42,35.73,108.8
5862324,342,332,71,54.65,20.76,97.08
5866144,254,485,188,384.35,74.02,190.94
5700084,775,188,34,642.85,4.39,24.26
5886700,438,175,41,611.02,9.36,39.95
5835859,704,2793,787,491.37,111.79,396.73
5771967,1126,655,140,553.17,12.43,58.17
5906917,37,3,0,0.0,0.0,8.11
5877612,1745,1345,368,286.04,21.09,77.08
5876723,27,35,7,43.33,25.93,129.63
5883631,51,110,22,79.31,43.14,215.69
5723508,441,468,88,227.06,19.95,106.12
5674694,229,142,29,72.83,12.66,62.01
5809872,172,210,33,156.14,19.19,122.09
5857359,1384,980,375,564.41,27.1,70.81
5867580,275,20,2,50.76,0.73,7.27
5809900,184,103,13,67.59,7.07,55.98
5884238,272,312,69,119.51,25.37,114.71
5818464,619,292,67,122.76,10.82,47.17
5726173,237,146,18,53.78,7.59,61.6
5753483,975,868,214,569.2,21.95,89.03
5565086,926,797,150,449.2,16.2,86.07
5565818,121,794,161,113.98,133.06,656.2
5843281,105,65,5,34.31,4.76,61.9
5907843,140,82,22,31.46,15.71,58.57
5751405,171,113,23,214.93,13.45,66.08
5877491,776,765,190,447.64,24.48,98.58
5843023,356,54,7,55.02,1.97,15.17
5600449,638,113,26,399.1,4.08,17.71
5872988,677,212,53,809.05,7.83,31.31
5910160,177,14,1,233.52,0.56,7.91
